
Что такое описательная статистика?	Описательная статистика — это раздел статистики, который описывает и суммирует уже имеющиеся данные. Она использует меры центральной тенденции (среднее, медиану, моду), меры вариации (размах, дисперсию, стандартное отклонение) и графические методы (гистограммы, ящики с усами), чтобы дать представление о распределении данных и их свойств. В отличие от инференциальной статистики описательные методы не делают выводы о генеральной совокупности, а просто резюмируют наблюдаемую выборку.
В чем разница между средним, медианой и модой?	Среднее — это арифметическое среднее значение всех наблюдений, чувствительное к выбросам. Медиана — это значение, которое делит упорядоченный набор данных пополам, и поэтому лучше отражает центр для асимметричных распределений. Мода — наиболее часто встречающееся значение в наборе данных; она полезна для категориальных данных и при распределениях с несколькими пиками.
Что такое дисперсия и стандартное отклонение?	Дисперсия измеряет, насколько сильно данные разбросаны относительно среднего: это среднее квадратичное отклонение наблюдений от среднего. Стандартное отклонение — квадратный корень из дисперсии; оно имеет ту же единицу измерения, что и исходные данные, и показывает типичное отклонение наблюдения от среднего. Чем больше дисперсия и стандартное отклонение, тем шире разброс значений.
Зачем использовать коэффициент вариации?	Коэффициент вариации — это отношение стандартного отклонения к среднему (обычно выраженное в процентах). Он измеряет относительный разброс и позволяет сравнивать вариабельность показателей с разным масштабом. Например, если среднее для одной выборки 100 и стандартное отклонение 10, коэффициент вариации 10 %; для другой выборки среднее 2 и стандартное отклонение 0,5, коэффициент вариации 25 %. Более высокий коэффициент означает большую относительную вариабельность.
Что такое выброс и как его обнаружить?	Выброс — наблюдение, сильно отличающееся от остальных данных. Его могут выявлять визуально на диаграммах ящик с усами: точка, лежащая за пределами 1,5 × IQR (межквартильный размах) от первого или третьего квартиля, считается потенциальным выбросом. Другой подход — использовать z‑оценки: значения, удаленные более чем на 3 стандартных отклонения от среднего, считаются подозрительными. Выбросы могут сигнализировать об ошибках измерения или редких явлениях.
В чем состоит центральная предельная теорема?	Центральная предельная теорема утверждает, что распределение выборочных средних для достаточно больших выборок стремится к нормальному, даже если исходная совокупность не нормальна. Выборочное среднее имеет математическое ожидание, равное истинному среднему совокупности, а его стандартное отклонение равно стандартному отклонению совокупности, деленному на квадратный корень из размера выборкиhttps://www.geeksforgeeks.org/maths/central-limit-theorem/#:~:text=One%20of%20the%20most%20basic,changes%20with%20increasing%20sample%20size. Благодаря этой теореме можно применять методы, основанные на нормальном распределении, к средним из больших выборок.
Что гласит закон больших чисел?	Закон больших чисел утверждает, что при увеличении числа независимых испытаний среднее значение наблюдаемых результатов стремится к математическому ожиданию совокупности. То есть, чем больше выборка, тем ближе выборочное среднее к истинному среднему, а разброс оценок уменьшаетсяhttps://statisticsbyjim.com/basics/law-of-large-numbers/#:~:text=What%20is%20the%20Law%20of,Large%20Numbers%20in%20Statistics. Этот закон оправдывает сбор больших выборок и объясняет, почему частоты стабилизируются при большом количестве наблюдений.
Какие существуют методы выборки?	"Среди вероятностных методов выделяют:
• Простая случайная выборка: каждому элементу совокупности дается равная вероятность попасть в выборкуhttps://www.scribbr.com/methodology/sampling-methods/#:~:text=1.
• Систематическая выборка: выбирают каждый k‑й элемент после случайного стартаhttps://www.scribbr.com/methodology/sampling-methods/#:~:text=2.
• Стратифицированная выборка: совокупность делят на слои (страты) и выбирают элементы пропорционально из каждого слояhttps://www.scribbr.com/methodology/sampling-methods/#:~:text=3.
• Кластерная выборка: совокупность разбивают на кластеры, случайно выбирают несколько кластеров и исследуют все элементы в нихhttps://www.scribbr.com/methodology/sampling-methods/#:~:text=4.
Существуют также непараметрические методы (конвениентная, снобольная выборки), но они не обеспечивают равной вероятности для каждого элемента и используются, когда случайный отбор невозможен."
Что такое простая случайная выборка?	Простая случайная выборка означает, что каждый объект совокупности имеет одинаковую вероятность быть выбранным. Для её реализации обычно используют генераторы случайных чисел или лотерею. Этот метод обеспечивает представительность и минимизирует систематическую ошибкуhttps://www.scribbr.com/methodology/sampling-methods/#:~:text=1.
Что такое систематическая выборка?	При систематической выборке исследователь сначала случайным образом выбирает начальную точку, а затем отбирает каждый k‑й элемент из списка, где k = N/n (N — размер совокупности, n — требуемый размер выборки). Она проще, чем простая случайная выборка, но может быть чувствительна к скрытой периодичности в данныхhttps://www.scribbr.com/methodology/sampling-methods/#:~:text=2.
Что такое стратифицированная выборка?	Стратифицированная выборка разбивает совокупность на однородные подгруппы (страты) по важным характеристикам, например возрасту или региону. Из каждой страты случайным образом отбирают элементы пропорционально её размеру. Этот метод позволяет контролировать представительство групп и уменьшить дисперсию оценокhttps://www.scribbr.com/methodology/sampling-methods/#:~:text=3.
Что такое кластерная выборка?	Кластерная выборка делит совокупность на географические или организационные кластеры (например, школы, кварталы). Затем случайно выбирают несколько кластеров и включают в выборку все элементы выбранных кластеров. Этот метод снижает затраты на сбор данных, но увеличивает ошибку из-за однородности внутри кластеровhttps://www.scribbr.com/methodology/sampling-methods/#:~:text=4.
